feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position,sc_team,sc_coach,round,year
293957,151,Brodie,Grundy,COL,RUC,,145,179,186,true,RUC,GetRichOrDieTryin,Mark,1,2020
290528,469,Max,Gawn,MEL,RUC,,141,93,33301,true,RUC,"What's Up, Doch?",Jordan,1,2020
295467,755,Jack,Macrae,WBD,MID,,123,103,9856,true,MID,It's always Sonny,Simon,1,2020
293535,76,Lachie,Neale,BRL,MID,,119,157,5524,true,MID,The Dragon's Laird,Luke,1,2020
291570,244,Nat,Fyfe,FRE,MID,,118,110,9867,true,MID,Bad Boys For Fyfe,James,1,2020
296347,397,Josh,Kelly,GWS,MID,,113,102,186,true,MID,GetRichOrDieTryin,Mark,1,2020
990704,94,Patrick,Cripps,CAR,MID,,120,112,9806,true,MID,HoweIMetYourMother,Lester,1,2020
993834,738,Josh,Dunkley,WBD,MID,,120,67,182,true,MID,Coronaviney,Paul,1,2020
291856,440,Tom,Mitchell,HAW,MID,,116,119,33301,true,MID,"What's Up, Doch?",Jordan,1,2020
270917,335,Patrick,Dangerfield,GEE,MID,,116,83,9856,true,MID,It's always Sonny,Simon,1,2020
297373,729,Marcus,Bontempelli,WBD,MID,,108,76,189,true,MID,The Full Bonty,Anthony,1,2020
291790,178,Adam,Treloar,COL,MID,,125,,9806,false,MID,HoweIMetYourMother,Lester,1,2020
271129,519,Todd,Goldstein,NTH,RUC,,123,136,189,true,RUC,The Full Bonty,Anthony,1,2020
294305,414,Lachie,Whitfield,GWS,FWD,MID,116,109,182,true,FWD,Coronaviney,Paul,1,2020
992468,668,Rowan,Marshall,STK,RUC,,125,92,9856,true,RUC,It's always Sonny,Simon,1,2020
996701,490,Clayton,Oliver,MEL,MID,,105,99,189,true,MID,The Full Bonty,Anthony,1,2020
295342,703,Jake,Lloyd,SYD,DEF,,97,77,5524,true,DEF,The Dragon's Laird,Luke,1,2020
292128,816,Elliot,Yeo,WCE,MID,,119,57,9867,true,MID,Bad Boys For Fyfe,James,1,2020
290801,787,Andrew,Gaff,WCE,MID,,108,119,182,true,MID,Coronaviney,Paul,1,2020
250365,553,Travis,Boak,PTA,MID,,102,125,5524,true,MID,The Dragon's Laird,Luke,1,2020
261224,90,Dayne,Zorko,BRL,MID,,111,52,33301,true,MID,"What's Up, Doch?",Jordan,1,2020
260382,700,Josh P.,Kennedy,SYD,MID,,104,129,9806,true,MID,HoweIMetYourMother,Lester,1,2020
992016,211,Zach,Merrett,ESS,MID,,117,111,182,true,MID,Coronaviney,Paul,1,2020
250312,616,Bachar,Houli,RIC,DEF,,100,,182,false,DEF,Coronaviney,Paul,1,2020
290778,714,Luke,Parker,SYD,MID,,93,125,9867,true,MID,Bad Boys For Fyfe,James,1,2020
260257,165,Scott,Pendlebury,COL,MID,,93,109,186,true,MID,GetRichOrDieTryin,Mark,1,2020
297401,6,Matt,Crouch,ADE,MID,,93,68,186,true,MID,GetRichOrDieTryin,Mark,1,2020
240283,789,Shannon,Hurn,WCE,DEF,,114,152,9806,true,DEF,HoweIMetYourMother,Lester,1,2020
295898,794,Tim,Kelly,WCE,MID,,112,86,189,true,MID,The Full Bonty,Anthony,1,2020
281065,337,Mitch,Duncan,GEE,MID,,102,120,189,true,MID,The Full Bonty,Anthony,1,2020
270963,36,Rory,Sloane,ADE,MID,,118,123,5524,true,MID,The Dragon's Laird,Luke,1,2020
998172,411,Tim,Taranto,GWS,MID,,102,,,,,,,1,2020
280921,513,Ben,Cunnington,NTH,MID,,107,185,182,true,MID,Coronaviney,Paul,1,2020
294685,415,Zac,Williams,GWS,DEF,,94,,189,false,DEF,The Full Bonty,Anthony,1,2020
290746,578,Scott,Lycett,PTA,RUC,,100,70,9806,true,RUC,HoweIMetYourMother,Lester,1,2020
290627,628,Dion,Prestia,RIC,MID,,101,118,5524,true,MID,The Dragon's Laird,Luke,1,2020
291969,378,Stephen,Coniglio,GWS,MID,,89,114,9867,true,MID,Bad Boys For Fyfe,James,1,2020
280078,809,Luke,Shuey,WCE,MID,,105,104,186,true,MID,GetRichOrDieTryin,Mark,1,2020
281007,270,Michael,Walters,FRE,FWD,MID,99,110,9856,true,FWD,It's always Sonny,Simon,1,2020
