YEAR,GAME,TEAM,PLAYER,HITS,THROWS,OVERTHROWS,CLUTCH,T_HITS,T_THROWS,WINNER,PCNT,FANTASY,PLAYERS,CUPS_FOR,CUPS_AGAINST,CARRIER,DRY_SPELL
2019,RR1,NOT 7th & 8th,GARTER,2,24,2,0,0,0,0,8.3,9,2,9,10,22.2,13
2019,RR1,NAP & SPOON,KAPPAZ,3,24,1,2,0,3,0,12.5,39,2,10,9,30,20
2019,RR1,NOT 7th & 8th,NAKHLA,5,24,0,1,0,5,0,20.8,99,2,9,10,55.6,6
2019,RR1,NAP & SPOON,RICHO,5,26,0,1,0,6,1,19.2,87,2,10,9,50,19
2019,RR2,SWIMMING & TITS,CHIEF,3,21,0,0,1,3,0,14.3,62,2,6,10,50,9
2019,RR2,SWIMMING & TITS,LESTER,3,19,2,0,0,1,0,15.8,25,2,6,10,50,10
2019,RR2,(FOOT)BALL & CHAINS,MELONS,5,22,0,2,0,3,1,22.7,97,2,10,6,50,11
2019,RR2,(FOOT)BALL & CHAINS,PMAC,3,23,0,1,1,8,0,13,68,2,10,6,30,11
2019,RR3,NAP & SPOON,KAPPAZ,3,21,0,0,0,1,0,14.3,48,2,9,10,33.3,9
2019,RR3,(FOOT)BALL & CHAINS,MELONS,5,23,3,2,0,3,1,21.7,62,2,10,9,50,8
2019,RR3,(FOOT)BALL & CHAINS,PMAC,5,22,0,1,0,3,0,22.7,82,2,10,9,50,7
2019,RR3,NAP & SPOON,RICHO,3,21,0,0,0,6,0,14.3,48,2,9,10,33.3,9
2019,RR4,SWIMMING & TITS,CHIEF,4,17,0,0,0,7,0,23.5,70,2,10,8,40,9
2019,RR4,NOT 7th & 8th,GARTER,3,18,2,0,0,0,0,16.7,32,2,8,10,37.5,8
2019,RR4,SWIMMING & TITS,LESTER,2,19,0,1,0,1,1,10.5,45,2,10,8,20,14
2019,RR4,NOT 7th & 8th,NAKHLA,5,16,2,0,0,1,0,31.2,66,2,8,10,62.5,5
2019,RR5,NOT 7th & 8th,GARTER,4,27,0,0,0,4,0,14.8,67,2,10,7,40,16
2019,RR5,(FOOT)BALL & CHAINS,MELONS,1,26,1,0,0,2,0,3.8,8,2,7,10,14.3,22
2019,RR5,NOT 7th & 8th,NAKHLA,5,27,0,1,1,3,1,18.5,107,2,10,7,50,12
2019,RR5,(FOOT)BALL & CHAINS,PMAC,6,26,0,0,0,3,0,23.1,98,2,7,10,85.7,8
2019,RR6,SWIMMING & TITS,CHIEF,2,21,0,0,0,4,0,9.5,32,2,9,10,22.2,9
2019,RR6,NAP & SPOON,KAPPAZ,3,21,1,0,0,3,0,14.3,37,2,10,9,30,12
2019,RR6,SWIMMING & TITS,LESTER,6,21,1,0,0,1,0,28.6,83,2,9,10,66.7,5
2019,RR6,NAP & SPOON,RICHO,6,22,0,1,0,4,1,27.3,100,2,10,9,60,14
2019,EF,SWIMMING & TITS,CHIEF,5,17,0,0,0,4,0,29.4,82,2,7,8,71.4,11
2019,EF,NOT 7th & 8th,GARTER,5,17,1,1,0,0,0,29.4,81,2,10,7,50,6
